order_item_id,order_id,order_date,customer_id,customer_name,email,region,signup_date,channel,order_status,product_id,product_name,category,unit_price,quantity,line_total,had_discount
9165,5093,2026-06-19,1053,Joseph Davidson,joseph.davidson40@gmail.com,Lagos,2025-06-01,Online,Completed,107,Memory Foam Pillow,Home,9500.0,1,9500.0,False
9410,5228,2026-02-06,1116,Christopher Lopez,christopher.lopez55@yahoo.com,Lagos,2025-11-10,In-store,Completed,107,Memory Foam Pillow,Home,9500.0,5,47500.0,False
9072,5037,2026-06-27,1021,Janet Williams,janet.williams59@outlook.com,Abuja,2024-10-11,Online,Completed,113,Air Fryer 5L,Electronics,62000.0,2,124000.0,False
9058,5028,2026-07-01,1012,Matthew Moore,matthew.moore49@gmail.com,Lagos,2024-04-04,Online,Completed,103,Anker Power Bank 20000Mah,Electronics,18500.0,1,18500.0,False
9187,5104,2026-04-29,1054,Daniel Graham,daniel.graham73@gmail.com,Lagos,2024-09-03,In-store,Completed,103,Anker Power Bank 20000Mah,Electronics,18500.0,1,18500.0,False
9347,5196,2026-03-18,1097,John Leblanc,john.leblanc85@outlook.com,Lagos,2025-03-05,In-store,Completed,102,Hp Pavilion Laptop,Electronics,420000.0,1,420000.0,False
9094,5051,2026-05-20,1032,Angela Cohen,angela.cohen64@yahoo.com,Lagos,,Online,Completed,110,Vegetable Oil 5L,Essentials,11800.0,1,11800.0,False
9181,5101,2026-01-17,1053,Joseph Davidson,joseph.davidson40@gmail.com,Lagos,2025-01-06,Online,Returned,111,Detergent Powder 4Kg,Essentials,5200.0,2,10400.0,False
9420,5234,2026-01-20,1117,Brooke Leonard,brooke.leonard43@gmail.com,Lagos,2024-04-01,Online,Completed,108,Led Desk Lamp,Home,7200.0,1,7200.0,False
9153,5086,2026-05-20,1051,Alexander Le,alexander.le68@gmail.com,Port Harcourt,2026-03-08,Online,Returned,115,Office Chair,Home,45000.0,2,90000.0,False
9235,5129,2026-07-05,1068,Christopher Tucker,christopher.tucker36@outlook.com,Port Harcourt,2024-08-31,In-store,Completed,105,Sonic Standing Fan,Home,24500.0,3,73500.0,False
9163,5091,2026-03-26,1052,Erin Herrera,erin.herrera63@gmail.com,Port Harcourt,2024-11-27,In-store,Completed,109,Basmati Rice 10Kg,Essentials,14500.0,1,14500.0,False
9443,5247,2026-01-09,1120,Brooke Harvey,brooke.harvey15@gmail.com,Port Harcourt,2024-01-10,Online,Completed,104,Bluetooth Wireless Earbuds,Electronics,15500.0,1,15500.0,False
9143,5080,2026-01-20,1049,Wendy Rice,wendy.rice78@gmail.com,Port Harcourt,2025-06-03,In-store,Completed,112,Assorted Toiletries Pack,Essentials,6300.0,1,5621.0,True
9008,5005,2026-07-08,1002,Joshua Walker,joshua.walker29@gmail.com,Abuja,2024-09-07,In-store,Completed,111,Detergent Powder 4Kg,Essentials,5200.0,4,20800.0,False
9156,5088,2026-03-18,1051,Alexander Le,alexander.le68@gmail.com,Port Harcourt,2026-03-08,Online,Completed,109,Basmati Rice 10Kg,Essentials,14500.0,2,29000.0,False
9467,5260,2026-05-31,1130,Joseph Mahoney,joseph.mahoney86@outlook.com,Abuja,2026-04-01,Online,Cancelled,102,Hp Pavilion Laptop,Electronics,420000.0,2,840000.0,False
9104,5056,2026-03-11,1034,Jeremy Johnson,jeremy.johnson96@outlook.com,Lagos,2024-09-09,In-store,Completed,113,Air Fryer 5L,Electronics,62000.0,1,62000.0,False
9047,5024,2026-03-25,1012,Matthew Moore,matthew.moore49@gmail.com,Lagos,2024-04-04,Online,Completed,105,Sonic Standing Fan,Home,24500.0,1,24500.0,False
9189,5105,2026-03-17,1054,Daniel Graham,daniel.graham73@gmail.com,Lagos,2024-09-03,Online,Completed,105,Sonic Standing Fan,Home,24500.0,1,24500.0,False
9261,5144,2026-06-23,1070,Katie Anderson,katie.anderson74@outlook.com,Port Harcourt,2026-06-22,Online,Completed,111,Detergent Powder 4Kg,Essentials,5200.0,1,5200.0,False
9238,5131,2026-01-29,1068,Christopher Tucker,christopher.tucker36@outlook.com,Port Harcourt,2024-08-31,Online,Completed,107,Memory Foam Pillow,Home,9500.0,2,19000.0,False
